"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 長照支付審查－分案審核明細邏輯模型對應"
"LTCFeeAuditDetailModel.auditResult.docVer","LTCFeeAuditDetailModel.auditResult.docVer","","","",0,1,"","","","string {[]} {[]}
","總表版次","核銷總表之版次，長度 15（doc_ver）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.docVer",0,1,"","","ClaimResponse.identifier.where(system='http://ltc-ig.fhir.tw/identifier/feeaudit/doc-ver').value"
"LTCFeeAuditDetailModel.auditResult.verDt","LTCFeeAuditDetailModel.auditResult.verDt","","","",0,1,"","","","string {[]} {[]}
","版次時間","總表版次產生時間，格式 yyyyMMddhhmmss，長度 14（ver_dt）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.verDt",0,1,"","","ClaimResponse.created"
"LTCFeeAuditDetailModel.auditResult.approveCaseNum","LTCFeeAuditDetailModel.auditResult.approveCaseNum","","","",0,1,"","","","integer {[]} {[]}
","核定個案數","審核核定通過之個案數（approve_case_num）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.approveCaseNum",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-AuditSummary').extension('approveCaseNum').valueInteger"
"LTCFeeAuditDetailModel.auditResult.approveRecordCount","LTCFeeAuditDetailModel.auditResult.approveRecordCount","","","",0,1,"","","","integer {[]} {[]}
","核定服務記錄數","審核核定通過之服務記錄筆數（approve_record_count）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.approveRecordCount",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-AuditSummary').extension('approveRecordCount').valueInteger"
"LTCFeeAuditDetailModel.auditResult.approveFee","LTCFeeAuditDetailModel.auditResult.approveFee","","","",0,1,"","","","decimal {[]} {[]}
","核定金額","審核核定之給付金額（approve_fee）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.approveFee",0,1,"","","ClaimResponse.total.where(category.coding.code='approveFee').amount"
"LTCFeeAuditDetailModel.auditResult.aSvcFee","LTCFeeAuditDetailModel.auditResult.aSvcFee","","","",0,1,"","","","decimal {[]} {[]}
","政策鼓勵金額","A 碼加成之政策鼓勵給付金額（a_svc_fee）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.aSvcFee",0,1,"","","ClaimResponse.total.where(category.coding.code='aSvcFee').amount"
"LTCFeeAuditDetailModel.auditResult.tempPaymentStatus","LTCFeeAuditDetailModel.auditResult.tempPaymentStatus","","","",0,1,"","","","string {[]} {[]}
","暫付申請狀態","暫付申請之處理狀態，長度 15，有申請暫付才顯示（temp_payment_status）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.tempPaymentStatus",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-AuditSummary').extension('tempPaymentStatus').valueString"
"LTCFeeAuditDetailModel.auditResult.tempPaymentFee","LTCFeeAuditDetailModel.auditResult.tempPaymentFee","","","",0,1,"","","","decimal {[]} {[]}
","分案暫付金額","本分案之暫付金額，有申請暫付才顯示（temp_payment_fee）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.tempPaymentFee",0,1,"","","ClaimResponse.total.where(category.coding.code='tempPaymentFee').amount"
"LTCFeeAuditDetailModel.auditResult.tempPaymentDocUrl","LTCFeeAuditDetailModel.auditResult.tempPaymentDocUrl","","","",0,1,"","","","url {[]} {[]}
","暫付總表下載路徑","暫付總表檔案之下載路徑，長度 200（temp_payment_doc_url）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.tempPaymentDocUrl",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-DocUrl').where(extension('docType').valueCodeableConcept.coding.code='tempPaymentDoc').extension('url').valueUrl"
"LTCFeeAuditDetailModel.auditResult.caseSummaryNoticeUrl","LTCFeeAuditDetailModel.auditResult.caseSummaryNoticeUrl","","","",0,1,"","","","url {[]} {[]}
","總表下載路徑","核銷總表檔案之下載路徑，長度 200（case_summary_notice_url）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.caseSummaryNoticeUrl",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-DocUrl').where(extension('docType').valueCodeableConcept.coding.code='caseSummaryNotice').extension('url').valueUrl"
"LTCFeeAuditDetailModel.auditResult.caseSvcListUrl","LTCFeeAuditDetailModel.auditResult.caseSvcListUrl","","","",0,1,"","","","url {[]} {[]}
","清冊路徑","服務記錄清冊之下載路徑，長度 200（case_svc_list_url）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.caseSvcListUrl",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-DocUrl').where(extension('docType').valueCodeableConcept.coding.code='caseSvcList').extension('url').valueUrl"
