"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－個案基本資料欄位對應"
"HNBaseDataModel.economic.modifierExtension","HNBaseDataModel.economic.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.economic.value","HNBaseDataModel.economic.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-4a8dcdb04d9b","",,,,"HNBaseDataModel.economic.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Economic').item.where(linkId='Economic.Value')"
"HNBaseDataModel.economic.other","HNBaseDataModel.economic.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.economic.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Economic').item.where(linkId='Economic.Other')"
"HNBaseDataModel.hasWelfare","HNBaseDataModel.hasWelfare","","","",1,1,"","","","Coding {[]} {[]}
","是否有福利","是否有福利","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-49fe20230ec3","",,,,"HNBaseDataModel.hasWelfare",1,1,"","","QuestionnaireResponse.item.where(linkId='HasWelfare')"
"HNBaseDataModel.welfare","HNBaseDataModel.welfare","","","",0,1,"","","","BackboneElement {[]} {[]}
","福利種類","福利種類","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.welfare",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Welfare')"
"HNBaseDataModel.welfare.id","HNBaseDataModel.welfare.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.welfare.extension","HNBaseDataModel.welfare.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.welfare.modifierExtension","HNBaseDataModel.welfare.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.welfare.values","HNBaseDataModel.welfare.values","","","",0,*,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-40193bb109d6","",,,,"HNBaseDataModel.welfare.values",0,*,"","","QuestionnaireResponse.item.where(linkId='Welfare').item.where(linkId='Welfare.Values')"
"HNBaseDataModel.welfare.other","HNBaseDataModel.welfare.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.welfare.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Welfare').item.where(linkId='Welfare.Other')"
"HNBaseDataModel.welfare.disabilityType","HNBaseDataModel.welfare.disabilityType","","","",0,1,"","","","Coding {[]} {[]}
","身障類別","身障類別。福利包含身障證明時必填。使用現有身心障礙類型 CodeSystem 的第一至第八類，回寫原 API 時還原完整名稱。","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-disability-type","",,,,"HNBaseDataModel.welfare.disabilityType",0,1,"","","QuestionnaireResponse.item.where(linkId='Welfare').item.where(linkId='Welfare.DisabilityType')"
"HNBaseDataModel.caregiverID","HNBaseDataModel.caregiverID","","","",1,1,"","","","Coding {[]} {[]}
","主要照顧者關係","主要照顧者關係","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-738f974cf008","",,,,"HNBaseDataModel.caregiverID",1,1,"","","QuestionnaireResponse.item.where(linkId='CaregiverID')"
"HNBaseDataModel.caregiverName","HNBaseDataModel.caregiverName","","","",1,1,"","","","string {[]} {[]}
","主要照顧者姓名","主要照顧者姓名","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caregiverName",1,1,"","","QuestionnaireResponse.item.where(linkId='CaregiverName')"
"HNBaseDataModel.caregiverAddress","HNBaseDataModel.caregiverAddress","","","",1,1,"","","","BackboneElement {[]} {[]}
","主要照顧者地址","主要照顧者地址","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caregiverAddress",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='CaregiverAddress')"
"HNBaseDataModel.caregiverAddress.id","HNBaseDataModel.caregiverAddress.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.caregiverAddress.extension","HNBaseDataModel.caregiverAddress.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.caregiverAddress.modifierExtension","HNBaseDataModel.caregiverAddress.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.caregiverAddress.city","HNBaseDataModel.caregiverAddress.city","","","",1,1,"","","","string {[]} {[]}
","縣市","縣市","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caregiverAddress.city",1,1,"","","QuestionnaireResponse.item.where(linkId='CaregiverAddress').item.where(linkId='CaregiverAddress.City')"
"HNBaseDataModel.caregiverAddress.area","HNBaseDataModel.caregiverAddress.area","","","",1,1,"","","","string {[]} {[]}
","鄉鎮市區","鄉鎮市區","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caregiverAddress.area",1,1,"","","QuestionnaireResponse.item.where(linkId='CaregiverAddress').item.where(linkId='CaregiverAddress.Area')"
"HNBaseDataModel.caregiverAddress.lane","HNBaseDataModel.caregiverAddress.lane","","","",1,1,"","","","string {[]} {[]}
","街路門牌","街路門牌","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caregiverAddress.lane",1,1,"","","QuestionnaireResponse.item.where(linkId='CaregiverAddress').item.where(linkId='CaregiverAddress.Lane')"
"HNBaseDataModel.caregiverTel","HNBaseDataModel.caregiverTel","","","",1,1,"","","","string {[]} {[]}
","主要照顧者電話","主要照顧者電話","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caregiverTel",1,1,"","","QuestionnaireResponse.item.where(linkId='CaregiverTel')"
"HNBaseDataModel.egyContactRelation","HNBaseDataModel.egyContactRelation","","","",1,1,"","","","Coding {[]} {[]}
","緊急聯絡人關係","緊急聯絡人關係","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-2029890a4c12","",,,,"HNBaseDataModel.egyContactRelation",1,1,"","","QuestionnaireResponse.item.where(linkId='EgyContactRelation')"
"HNBaseDataModel.egyContactName","HNBaseDataModel.egyContactName","","","",1,1,"","","","string {[]} {[]}
","緊急聯絡人姓名","緊急聯絡人姓名","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.egyContactName",1,1,"","","QuestionnaireResponse.item.where(linkId='EgyContactName')"
"HNBaseDataModel.egyContactTel1","HNBaseDataModel.egyContactTel1","","","",1,1,"","","","string {[]} {[]}
","緊急聯絡電話一","緊急聯絡電話一","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.egyContactTel1",1,1,"","","QuestionnaireResponse.item.where(linkId='EgyContactTel1')"
"HNBaseDataModel.egyContactTel2","HNBaseDataModel.egyContactTel2","","","",0,1,"","","","string {[]} {[]}
","緊急聯絡電話二","緊急聯絡電話二","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.egyContactTel2",0,1,"","","QuestionnaireResponse.item.where(linkId='EgyContactTel2')"
"HNBaseDataModel.nurseID","HNBaseDataModel.nurseID","","","",1,1,"","","","string {[]} {[]}
","主責護理人員身分證字號","主責護理人員身分證字號","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.nurseID",1,1,"","","QuestionnaireResponse.item.where(linkId='NurseID')"
"HNBaseDataModel.decisionMakerRelation","HNBaseDataModel.decisionMakerRelation","","","",1,1,"","","","BackboneElement {[]} {[]}
","主要醫療決定者關係","主要醫療決定者關係","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.decisionMakerRelation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='DecisionMakerRelation')"
"HNBaseDataModel.decisionMakerRelation.id","HNBaseDataModel.decisionMakerRelation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.decisionMakerRelation.extension","HNBaseDataModel.decisionMakerRelation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.decisionMakerRelation.modifierExtension","HNBaseDataModel.decisionMakerRelation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.decisionMakerRelation.value","HNBaseDataModel.decisionMakerRelation.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-b63e1293c409","",,,,"HNBaseDataModel.decisionMakerRelation.value",1,1,"","","QuestionnaireResponse.item.where(linkId='DecisionMakerRelation').item.where(linkId='DecisionMakerRelation.Value')"
"HNBaseDataModel.decisionMakerRelation.other","HNBaseDataModel.decisionMakerRelation.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.decisionMakerRelation.other",0,1,"","","QuestionnaireResponse.item.where(linkId='DecisionMakerRelation').item.where(linkId='DecisionMakerRelation.Other')"
"HNBaseDataModel.mEvent","HNBaseDataModel.mEvent","","","",1,1,"","","","Coding {[]} {[]}
","一年內是否發生重大事件","一年內是否發生重大事件","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-49fe20230ec3","",,,,"HNBaseDataModel.mEvent",1,1,"","","QuestionnaireResponse.item.where(linkId='MEvent')"
"HNBaseDataModel.mEventItem","HNBaseDataModel.mEventItem","","","",0,1,"","","","BackboneElement {[]} {[]}
","重大事件項目","重大事件項目","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.mEventItem",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='MEventItem')"
"HNBaseDataModel.mEventItem.id","HNBaseDataModel.mEventItem.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.mEventItem.extension","HNBaseDataModel.mEventItem.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.mEventItem.modifierExtension","HNBaseDataModel.mEventItem.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.mEventItem.values","HNBaseDataModel.mEventItem.values","","","",0,*,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-fe3736bbd09e","",,,,"HNBaseDataModel.mEventItem.values",0,*,"","","QuestionnaireResponse.item.where(linkId='MEventItem').item.where(linkId='MEventItem.Values')"
"HNBaseDataModel.mEventItem.other","HNBaseDataModel.mEventItem.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.mEventItem.other",0,1,"","","QuestionnaireResponse.item.where(linkId='MEventItem').item.where(linkId='MEventItem.Other')"
"HNBaseDataModel.caseDesc","HNBaseDataModel.caseDesc","","","",0,1,"","","","string {[]} {[]}
","個案描述","個案描述","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caseDesc",0,1,"","","QuestionnaireResponse.item.where(linkId='CaseDesc')"
"HNBaseDataModel.createID","HNBaseDataModel.createID","","","",1,1,"","","","string {[]} {[]}
","建立機構代碼","建立機構代碼","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.createID",1,1,"","","QuestionnaireResponse.item.where(linkId='CreateID')"
"HNBaseDataModel.medicals","HNBaseDataModel.medicals","","","",0,*,"","","","BackboneElement {[]} {[]}
","共照醫事人員","共照醫事人員","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.medicals",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Medicals')"
"HNBaseDataModel.medicals.id","HNBaseDataModel.medicals.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.medicals.extension","HNBaseDataModel.medicals.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.medicals.modifierExtension","HNBaseDataModel.medicals.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.medicals.name","HNBaseDataModel.medicals.name","","","",1,1,"","","","string {[]} {[]}
","成員姓名","成員姓名","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.medicals.name",1,1,"","","QuestionnaireResponse.item.where(linkId='Medicals').item.where(linkId='Medicals.Name')"
"HNBaseDataModel.medicals.careDate","HNBaseDataModel.medicals.careDate","","","",0,1,"","","","date {[]} {[]}
","加入日期","加入日期","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.medicals.careDate",0,1,"","","QuestionnaireResponse.item.where(linkId='Medicals').item.where(linkId='Medicals.CareDate')"
"HNBaseDataModel.medicals.idNo","HNBaseDataModel.medicals.idNo","","","",0,1,"","","","string {[]} {[]}
","成員身分證字號","成員身分證字號","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.medicals.idNo",0,1,"","","QuestionnaireResponse.item.where(linkId='Medicals').item.where(linkId='Medicals.IdNo')"
"HNBaseDataModel.medicals.jobTitle","HNBaseDataModel.medicals.jobTitle","","","",1,1,"","","","BackboneElement {[]} {[]}
","成員職稱","成員職稱","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.medicals.jobTitle",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Medicals').item.where(linkId='Medicals.JobTitle')"
"HNBaseDataModel.medicals.jobTitle.id","HNBaseDataModel.medicals.jobTitle.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.medicals.jobTitle.extension","HNBaseDataModel.medicals.jobTitle.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.medicals.jobTitle.modifierExtension","HNBaseDataModel.medicals.jobTitle.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
